uuid,Last Credentialed Scan,repository,operatingSystem,pluginID,pluginName,firstSeen,lastSeen,sourcetype,Level,cve
10000asas0000001,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 5.13.0-27-generic on Ubuntu 20.04,1230123,Network daemons not managed by the package system,1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000002,1/7/2022,Workstations,Mac OS X 12.0.1,1230123,Network daemons not managed by the package system,12/29/2021,1/7/2022,vulnerability:remediated,Low,"CVE-0000-0000,CVE-0000-0000"
10000asas0000003,2022-01-04 2022-01-11 2022-01-18 2022-01-25,Workstations,Microsoft Windows 10 Enterprise,1230123,McAfee Agent < 5.7.5 Multiple Vulnerabilities (SB10378),1/25/2022,1/25/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
,1/4/2022,Network Equipment,Linux Kernel 5.13.0-27-generic on Ubuntu 20.04,1230123,McAfee Agent < 5.7.5 Multiple Vulnerabilities (SB10378),6/25/2021,1/28/2022,vulnerability:open,High,CVE-0000-0000
10000asas0000004,2022-01-04 2022-01-11 2022-01-26,Workstations,Mac OS X 12.0.1,1230123,McAfee Agent < 5.7.5 Multiple Vulnerabilities (SB10378),1/11/2022,1/26/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000005,2022-01-01 2022-01-02 2022-01-09 2022-01-16 2022-01-23 2022-01-24 2022-01-31,Workstations,Microsoft Windows 10 Enterprise,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),1/23/2022,1/31/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000"
10000asas0000006,2022-01-04 2022-01-11 2022-01-18 2022-01-25,Workstations,Juniper Junos Version 20.2R2-S3.5,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),1/25/2022,1/25/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000007,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows 10 Enterprise,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),1/20/2022,1/27/2022,vulnerability:remediated,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000008,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Mac OS X 11.5.1,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),1/13/2022,1/27/2022,vulnerability:remediated,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000009,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows 10 Enterprise,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/20/2022,1/27/2022,vulnerability:remediated,Low,"CVE-0000-0000,CVE-0000-0000"
10000asas0000010,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows Server 2019 Datacenter,1230123,Network daemons not managed by the package system,11/18/2020,1/27/2022,vulnerability:remediated,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000011,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/5/2022,1/27/2022,vulnerability:remediated,High,CVE-0000-0000
